2025-03-07 17:15:06.677, FPS = 72.0414: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1023613, Y: -0.3542898, Z: 0.4540028, Rotation: (2.89, 23.27, 347.59)
2025-03-07 17:15:08.683, FPS = 71.8325: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1036078, Y: -0.3626629, Z: 0.455099, Rotation: (2.99, 21.13, 339.61)
2025-03-07 17:15:10.687, FPS = 72.27464: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.108974, Y: -0.3641342, Z: 0.4580511, Rotation: (0.10, 16.34, 335.14)
2025-03-07 17:15:12.692, FPS = 71.96857: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1046743, Y: -0.3601675, Z: 0.4526865, Rotation: (5.18, 29.68, 340.89)
2025-03-07 17:15:14.696, FPS = 71.65275: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1048553, Y: -0.3499379, Z: 0.4490015, Rotation: (9.94, 28.48, 342.09)
2025-03-07 17:15:16.699, FPS = 72.0039: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1057987, Y: -0.3527395, Z: 0.4498456, Rotation: (10.06, 26.42, 339.83)
2025-03-07 17:15:18.706, FPS = 71.45663: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1031556, Y: -0.3501998, Z: 0.4488961, Rotation: (8.13, 30.27, 342.64)
2025-03-07 17:15:20.709, FPS = 71.88419: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.107889, Y: -0.3623707, Z: 0.45439, Rotation: (10.65, 21.58, 335.84)
2025-03-07 17:15:22.715, FPS = 72.35663: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1080064, Y: -0.3619811, Z: 0.4543168, Rotation: (10.56, 21.70, 336.41)
2025-03-07 17:15:24.718, FPS = 71.99266: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1080838, Y: -0.3607494, Z: 0.4538043, Rotation: (10.77, 21.83, 336.71)
2025-03-07 17:15:26.722, FPS = 71.70079: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1084773, Y: -0.3564454, Z: 0.4523923, Rotation: (11.19, 22.30, 338.50)
