2025-03-07 17:10:10.981, FPS = 71.73391: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1046937, Y: -0.3351046, Z: 0.4557819, Rotation: (7.56, 22.45, 341.81)
2025-03-07 17:10:11.983, FPS = 71.78529: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.106634, Y: -0.3417741, Z: 0.4566874, Rotation: (8.30, 23.05, 337.38)
2025-03-07 17:10:12.985, FPS = 72.84087: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1064483, Y: -0.3400356, Z: 0.4557315, Rotation: (8.73, 23.48, 338.32)
2025-03-07 17:10:13.988, FPS = 72.31857: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1087574, Y: -0.341693, Z: 0.4559611, Rotation: (6.83, 23.21, 335.79)
2025-03-07 17:10:14.991, FPS = 72.15569: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.106309, Y: -0.3349343, Z: 0.4537987, Rotation: (7.35, 23.63, 339.45)
2025-03-07 17:10:15.991, FPS = 71.1736: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1055221, Y: -0.3356718, Z: 0.4536111, Rotation: (7.89, 24.14, 339.89)
2025-03-07 17:10:16.994, FPS = 70.92713: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1105054, Y: -0.3391938, Z: 0.4530776, Rotation: (5.03, 21.75, 328.53)
2025-03-07 17:10:17.995, FPS = 72.01943: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1086242, Y: -0.3378194, Z: 0.4558246, Rotation: (5.47, 19.35, 334.27)
2025-03-07 17:10:18.998, FPS = 71.99999: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1064564, Y: -0.3363778, Z: 0.4531082, Rotation: (5.46, 24.78, 339.81)
2025-03-07 17:10:20.001, FPS = 70.65491: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1043231, Y: -0.3320967, Z: 0.4501128, Rotation: (3.56, 27.15, 338.60)
2025-03-07 17:10:21.003, FPS = 71.74708: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1064751, Y: -0.3370473, Z: 0.4532517, Rotation: (3.88, 22.82, 336.44)
