2025-03-07 16:48:16.861, FPS = 71.81593: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.131676, Y: -0.3511975, Z: 0.3700138, Rotation: (12.81, 32.91, 341.86)
2025-03-07 16:48:17.863, FPS = 71.82554: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1315441, Y: -0.355289, Z: 0.3709446, Rotation: (12.45, 33.59, 340.21)
2025-03-07 16:48:18.866, FPS = 71.83608: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1310271, Y: -0.3573023, Z: 0.3715152, Rotation: (12.03, 34.44, 339.79)
2025-03-07 16:48:19.868, FPS = 71.93652: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1312333, Y: -0.3564152, Z: 0.3718019, Rotation: (11.96, 33.76, 339.93)
2025-03-07 16:48:20.870, FPS = 71.67167: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1289545, Y: -0.3562323, Z: 0.3718304, Rotation: (10.97, 33.64, 341.64)
2025-03-07 16:48:21.872, FPS = 71.54158: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1320248, Y: -0.3592061, Z: 0.3740121, Rotation: (12.10, 28.30, 339.83)
2025-03-07 16:48:22.876, FPS = 71.88087: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1324275, Y: -0.3592798, Z: 0.3733004, Rotation: (10.46, 28.75, 338.37)
2025-03-07 16:48:23.877, FPS = 72.07684: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1296293, Y: -0.3557488, Z: 0.3723874, Rotation: (11.32, 27.91, 337.56)
2025-03-07 16:48:24.880, FPS = 72.06419: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1306342, Y: -0.3564487, Z: 0.3731076, Rotation: (12.48, 29.93, 339.52)
2025-03-07 16:48:25.882, FPS = 71.71049: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1310202, Y: -0.3538595, Z: 0.3713516, Rotation: (12.81, 26.69, 336.23)
2025-03-07 16:48:26.884, FPS = 71.42712: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1290534, Y: -0.3537726, Z: 0.372965, Rotation: (10.70, 32.17, 343.39)
2025-03-07 16:48:27.886, FPS = 71.81359: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1297664, Y: -0.3524865, Z: 0.3714346, Rotation: (12.09, 29.12, 339.28)
2025-03-07 16:48:28.889, FPS = 71.68131: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1296805, Y: -0.3518239, Z: 0.3714389, Rotation: (13.14, 29.62, 339.87)
2025-03-07 16:48:29.892, FPS = 71.87635: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1299773, Y: -0.3540297, Z: 0.3722302, Rotation: (11.80, 26.15, 337.70)
2025-03-07 16:48:30.895, FPS = 71.42451: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1312229, Y: -0.35715, Z: 0.3750609, Rotation: (9.36, 23.74, 337.06)
2025-03-07 16:48:31.895, FPS = 71.79276: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1371473, Y: -0.3535435, Z: 0.3775041, Rotation: (4.88, 21.76, 333.91)
2025-03-07 16:48:32.898, FPS = 71.90335: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1366914, Y: -0.3339751, Z: 0.3694057, Rotation: (50.09, 26.74, 326.72)
2025-03-07 16:48:33.900, FPS = 71.98542: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1382421, Y: -0.3371636, Z: 0.3730437, Rotation: (51.97, 23.27, 322.86)
2025-03-07 16:48:34.902, FPS = 71.69872: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1473374, Y: -0.3369495, Z: 0.378123, Rotation: (75.35, 331.94, 266.16)
2025-03-07 16:48:35.904, FPS = 72.05428: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1519133, Y: -0.3428569, Z: 0.3796946, Rotation: (81.89, 319.58, 256.27)
2025-03-07 16:48:36.906, FPS = 71.5584: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1510366, Y: -0.3403972, Z: 0.3802614, Rotation: (82.44, 314.22, 250.27)
2025-03-07 16:48:37.909, FPS = 71.91405: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.151303, Y: -0.3389904, Z: 0.3802236, Rotation: (82.76, 312.17, 247.79)
2025-03-07 16:48:38.911, FPS = 71.68797: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1511514, Y: -0.3342345, Z: 0.379547, Rotation: (83.22, 275.52, 211.29)
2025-03-07 16:48:39.914, FPS = 71.83593: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1485292, Y: -0.3554111, Z: 0.3716339, Rotation: (10.79, 32.33, 341.92)
