2025-03-07 16:57:52.495, FPS = 72.14453: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2160892, Y: -0.3473577, Z: 0.3228645, Rotation: (3.92, 34.69, 336.85)
2025-03-07 16:57:53.498, FPS = 72.00163: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1822333, Y: -0.2899621, Z: 0.3002938, Rotation: (62.88, 55.30, 355.65)
2025-03-07 16:57:54.500, FPS = 72.51457: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1769282, Y: -0.2910816, Z: 0.2890068, Rotation: (75.81, 62.12, 6.15)
2025-03-07 16:57:55.502, FPS = 71.81851: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1899018, Y: -0.297395, Z: 0.301914, Rotation: (75.20, 49.35, 359.36)
2025-03-07 16:57:56.505, FPS = 72.08421: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1888013, Y: -0.2948312, Z: 0.3055961, Rotation: (73.48, 39.03, 347.40)
2025-03-07 16:57:57.507, FPS = 72.22639: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1919485, Y: -0.2797381, Z: 0.303537, Rotation: (73.87, 43.86, 353.73)
2025-03-07 16:57:58.511, FPS = 71.56263: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1922611, Y: -0.2922163, Z: 0.3019027, Rotation: (79.49, 31.36, 341.18)
2025-03-07 16:57:59.512, FPS = 71.7205: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.189296, Y: -0.2938516, Z: 0.30311, Rotation: (74.18, 33.34, 342.40)
2025-03-07 16:58:00.515, FPS = 71.95428: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2140665, Y: -0.3468443, Z: 0.3262928, Rotation: (6.10, 27.97, 337.51)
2025-03-07 16:58:01.517, FPS = 72.23293: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2105183, Y: -0.3478975, Z: 0.3258715, Rotation: (6.59, 32.50, 337.18)
2025-03-07 16:58:02.519, FPS = 72.30553: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2082601, Y: -0.3450164, Z: 0.3231016, Rotation: (7.52, 35.24, 337.94)
2025-03-07 16:58:03.522, FPS = 71.37786: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2096264, Y: -0.3502308, Z: 0.3260761, Rotation: (8.96, 32.86, 335.28)
