2025-03-07 17:03:57.916, FPS = 71.69131: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1359388, Y: -0.3442072, Z: 0.3748936, Rotation: (7.36, 23.00, 336.61)
2025-03-07 17:03:58.920, FPS = 70.68919: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1357392, Y: -0.3488851, Z: 0.3759536, Rotation: (5.88, 24.06, 336.36)
2025-03-07 17:03:59.923, FPS = 71.29291: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1301576, Y: -0.3400103, Z: 0.3757141, Rotation: (6.17, 27.39, 345.33)
2025-03-07 17:04:00.925, FPS = 71.39159: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1293485, Y: -0.3375011, Z: 0.3739783, Rotation: (6.92, 28.49, 345.28)
2025-03-07 17:04:01.928, FPS = 71.36292: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1305529, Y: -0.3409433, Z: 0.3744064, Rotation: (7.88, 27.86, 344.90)
2025-03-07 17:04:02.930, FPS = 72.14485: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1309347, Y: -0.3443695, Z: 0.3746932, Rotation: (7.75, 27.05, 341.57)
2025-03-07 17:04:03.932, FPS = 72.09834: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1358229, Y: -0.3443498, Z: 0.3742051, Rotation: (7.15, 21.62, 330.77)
2025-03-07 17:04:04.934, FPS = 71.42315: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1360387, Y: -0.3460344, Z: 0.3753055, Rotation: (7.86, 23.23, 332.57)
2025-03-07 17:04:05.937, FPS = 71.82875: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1378859, Y: -0.3504752, Z: 0.3773049, Rotation: (7.16, 21.90, 331.06)
2025-03-07 17:04:06.939, FPS = 71.32732: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1373444, Y: -0.3512646, Z: 0.378693, Rotation: (5.78, 21.10, 330.91)
2025-03-07 17:04:07.942, FPS = 71.84721: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1375639, Y: -0.3506387, Z: 0.3784837, Rotation: (5.82, 20.99, 330.39)
2025-03-07 17:04:08.944, FPS = 71.77413: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1358824, Y: -0.3506079, Z: 0.3775139, Rotation: (6.99, 24.65, 334.75)
2025-03-07 17:04:09.946, FPS = 71.72485: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1362349, Y: -0.3500829, Z: 0.3768088, Rotation: (3.68, 20.93, 331.64)
2025-03-07 17:04:10.948, FPS = 72.31031: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.1338483, Y: -0.3440641, Z: 0.3736514, Rotation: (7.09, 27.20, 338.36)
2025-03-07 17:04:11.949, FPS = 72.17477: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2573711, Y: -0.3147438, Z: 0.4608659, Rotation: (25.02, 39.24, 299.57)
2025-03-07 17:04:12.952, FPS = 72.43623: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2901722, Y: -0.3456377, Z: 0.4763642, Rotation: (7.41, 70.12, 343.54)
2025-03-07 17:04:13.955, FPS = 72.03151: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2890151, Y: -0.3448473, Z: 0.4753411, Rotation: (7.90, 71.76, 345.00)
2025-03-07 17:04:14.957, FPS = 71.35814: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2910933, Y: -0.3466362, Z: 0.4763806, Rotation: (8.16, 70.96, 344.94)
2025-03-07 17:04:15.960, FPS = 71.7082: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2912991, Y: -0.3477055, Z: 0.4768452, Rotation: (7.79, 71.22, 344.77)
2025-03-07 17:04:16.962, FPS = 71.96535: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2920655, Y: -0.3483517, Z: 0.4775403, Rotation: (7.82, 71.15, 345.02)
2025-03-07 17:04:17.964, FPS = 72.09455: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.29193, Y: -0.3476687, Z: 0.4773805, Rotation: (7.95, 71.13, 345.13)
2025-03-07 17:04:18.967, FPS = 71.95852: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2914974, Y: -0.3479789, Z: 0.4773218, Rotation: (7.52, 71.37, 345.35)
2025-03-07 17:04:19.969, FPS = 72.06458: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2910654, Y: -0.3471608, Z: 0.4765548, Rotation: (7.97, 71.07, 345.02)
2025-03-07 17:04:20.970, FPS = 71.92118: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2901823, Y: -0.3464225, Z: 0.476351, Rotation: (7.43, 71.61, 345.30)
2025-03-07 17:04:21.972, FPS = 71.27184: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2907864, Y: -0.3460966, Z: 0.4762344, Rotation: (7.53, 71.48, 345.66)
2025-03-07 17:04:22.975, FPS = 71.79756: Left Controller Position - X: 0, Y: 0, Z: 0, Rotation: (0.00, 0.00, 0.00) / Right Controller Position - X: 0.2904215, Y: -0.3472799, Z: 0.4763471, Rotation: (7.01, 71.13, 344.78)
